Transaction_ID,Customer_ID,Transaction_Date,Transaction_Amount,Merchant_Category,Payment_Method,Device_Type,Location,Is_International,Previous_Transactions,Average_Spend,Account_Age_Days,Suspicious_Keyword,Fraudulent,spend_to_avg_ratio,is_high_value_transaction,transaction_hour,transaction_day_of_week,is_night_transaction,is_weekend,account_age_years,suspicious_keyword_flag,is_international_flag
T100083,CUST4338,2023-11-05 08:49:00,5.25,Health,Credit Card,POS,Delhi,0,191,258.59,1662,Yes,0,0.0203,0,8,6,0,1,4.55,1,0
T100084,CUST8393,2023-01-29 21:17:00,29.8,Utilities,NetBanking,Mobile,Chennai,0,74,344.15,268,No,0,0.0866,0,21,6,0,1,0.73,0,0
T100085,CUST3641,2023-09-09 13:55:00,31.47,Grocery,PayPal,POS,Chennai,0,168,313.26,504,No,0,0.1005,0,13,5,0,1,1.38,0,0
T100086,CUST6597,2023-02-25 19:33:00,104.63,Travel,UPI,Desktop,Pune,0,145,161.38,553,No,0,0.6483,0,19,5,0,1,1.51,0,0
T100087,CUST1897,2023-03-02 18:46:00,81.19,Travel,Credit Card,POS,Hyderabad,0,101,147.1,586,Yes,0,0.5519,0,18,3,0,0,1.6,1,0
T100088,CUST1518,2024-01-24 00:05:00,174.58,Entertainment,PayPal,POS,Hyderabad,0,79,177.37,1445,Yes,1,0.9843,0,0,2,1,0,3.96,1,0
T100089,CUST2994,2023-06-16 08:07:00,51.13,Electronics,Debit Card,Desktop,Hyderabad,0,160,117.04,38,No,0,0.4369,0,8,4,0,0,0.1,0,0
T100090,CUST1456,2023-10-11 18:48:00,10.19,Entertainment,UPI,POS,Chennai,0,23,381.12,1566,No,0,0.0267,0,18,2,0,0,4.29,0,0
T100091,CUST8947,2023-03-26 22:06:00,99.93,Fashion,PayPal,Mobile,Pune,0,188,482.64,1442,Yes,0,0.207,0,22,6,0,1,3.95,1,0
T100092,CUST6459,2023-05-18 22:53:00,114.43,Electronics,PayPal,POS,Hyderabad,0,56,435.21,1892,No,0,0.2629,0,22,3,0,0,5.18,0,0
T100093,CUST8530,2023-04-24 01:43:00,65.91,Food,Credit Card,Mobile,Mumbai,0,137,116.79,1263,No,0,0.5643,0,1,0,1,0,3.46,0,0
T100094,CUST6489,2023-09-28 06:34:00,117.91,Utilities,Debit Card,Mobile,Bengaluru,1,106,35.44,1107,No,1,3.327,0,6,3,0,0,3.03,0,1
T100095,CUST6062,2023-06-09 08:48:00,54.47,Food,PayPal,Mobile,Kolkata,1,69,380.98,645,No,1,0.143,0,8,4,0,0,1.77,0,1
T100096,CUST8011,2023-06-19 06:45:00,59.17,Travel,UPI,Desktop,Delhi,0,190,201.2,181,No,0,0.2941,0,6,0,0,0,0.5,0,0
T100097,CUST6512,2023-10-27 02:52:00,44.63,Fashion,PayPal,POS,Delhi,0,192,414.06,439,No,0,0.1078,0,2,4,1,0,1.2,0,0
T100098,CUST5854,2024-01-21 05:46:00,2.06,Grocery,NetBanking,Mobile,Mumbai,1,22,391.83,39,No,0,0.0053,0,5,6,1,1,0.11,0,1
T100099,CUST1730,2023-07-15 22:54:00,9.13,Fashion,UPI,Mobile,Hyderabad,0,32,316.45,986,No,0,0.0289,0,22,5,0,1,2.7,0,0
T100100,CUST3365,2023-05-03 11:18:00,2.55,Food,UPI,POS,Pune,0,175,135.12,581,No,0,0.0189,0,11,2,0,0,1.59,0,0
T100101,CUST4125,2023-03-23 08:47:00,80.94,Grocery,PayPal,Desktop,Pune,0,2,60.98,585,No,0,1.3273,0,8,3,0,0,1.6,0,0
T100102,CUST8316,2023-03-16 20:08:00,30.19,Fashion,Credit Card,Desktop,Chennai,0,123,133.8,909,No,0,0.2256,0,20,3,0,0,2.49,0,0
T100103,CUST9981,2023-04-12 20:40:00,56.83,Utilities,UPI,Mobile,Hyderabad,0,85,259.78,297,No,0,0.2188,0,20,2,0,0,0.81,0,0
T100104,CUST3591,2024-02-11 11:14:00,190.5,Utilities,NetBanking,Desktop,Pune,0,180,489.94,1043,No,0,0.3888,0,11,6,0,1,2.86,0,0
T100105,CUST7521,2023-03-24 02:13:00,22.94,Fashion,Credit Card,POS,Hyderabad,0,14,41.21,1843,No,0,0.5567,0,2,4,1,0,5.05,0,0
T100106,CUST5225,2023-08-01 15:23:00,42.26,Grocery,Credit Card,Desktop,Delhi,0,37,108.04,696,No,0,0.3912,0,15,1,0,0,1.91,0,0
T100107,CUST8766,2023-06-30 03:33:00,112.7,Food,Credit Card,POS,Kolkata,0,27,317.37,480,No,0,0.3551,0,3,4,1,0,1.31,0,0
T100108,CUST9026,2023-11-26 02:23:00,20.78,Fashion,UPI,Mobile,Kolkata,0,152,159.14,623,No,1,0.1306,0,2,6,1,1,1.71,0,0
T100109,CUST9033,2023-12-27 06:53:00,6.41,Grocery,Credit Card,POS,Kolkata,0,64,430.67,1250,No,0,0.0149,0,6,2,0,0,3.42,0,0
T100110,CUST3953,2024-02-14 08:48:00,27.37,Health,PayPal,Mobile,Delhi,0,70,78.31,427,No,0,0.3495,0,8,2,0,0,1.17,0,0
T100111,CUST3617,2024-02-21 04:08:00,14.06,Utilities,Credit Card,POS,Chennai,0,154,481.95,950,No,0,0.0292,0,4,2,1,0,2.6,0,0
T100112,CUST3984,2023-08-10 10:57:00,212.4,Health,NetBanking,POS,Kolkata,0,182,457.06,1105,No,0,0.4647,0,10,3,0,0,3.03,0,0
T100113,CUST2479,2023-08-31 02:43:00,132.07,Food,Debit Card,Desktop,Delhi,0,15,444.89,1788,No,0,0.2969,0,2,3,1,0,4.9,0,0
T100114,CUST2620,2023-12-26 11:38:00,80.28,Grocery,NetBanking,POS,Hyderabad,0,29,94.8,1522,No,0,0.8468,0,11,1,0,0,4.17,0,0
T100115,CUST5219,2023-09-24 00:09:00,164.12,Health,UPI,Mobile,Kolkata,0,74,171.45,1421,No,0,0.9572,0,0,6,1,1,3.89,0,0
T100116,CUST7975,2023-06-18 04:34:00,130.24,Grocery,Credit Card,POS,Mumbai,0,28,404.01,1427,No,0,0.3224,0,4,6,1,1,3.91,0,0
T100117,CUST7539,2024-01-28 04:56:00,16.52,Fashion,Credit Card,Mobile,Chennai,0,59,405.83,1112,No,0,0.0407,0,4,6,1,1,3.04,0,0
T100118,CUST1517,2023-07-17 13:56:00,178.47,Food,PayPal,Mobile,Mumbai,0,73,355.54,323,No,0,0.502,0,13,0,0,0,0.88,0,0
T100119,CUST8363,2023-05-16 11:23:00,62.01,Health,Credit Card,POS,Hyderabad,0,149,229.54,817,No,0,0.2701,0,11,1,0,0,2.24,0,0
T100120,CUST6820,2023-07-09 18:48:00,131.79,Entertainment,NetBanking,Desktop,Chennai,0,10,162.68,1899,No,0,0.8101,0,18,6,0,1,5.2,0,0
T100121,CUST8212,2023-07-04 13:41:00,181.14,Fashion,UPI,POS,Mumbai,0,132,481.85,1841,No,0,0.3759,0,13,1,0,0,5.04,0,0
T100122,CUST4467,2023-10-19 20:05:00,30.62,Utilities,Debit Card,POS,Chennai,0,62,78.24,981,No,0,0.3914,0,20,3,0,0,2.69,0,0
T100123,CUST2592,2023-10-13 04:56:00,9.33,Entertainment,Credit Card,Desktop,Hyderabad,0,132,31.44,898,No,1,0.2968,0,4,4,1,0,2.46,0,0
T100124,CUST6576,2023-11-14 10:41:00,20.69,Entertainment,Debit Card,Mobile,Pune,0,127,14.47,139,No,0,1.4299,0,10,1,0,0,0.38,0,0
T100125,CUST2528,2023-06-19 17:23:00,44.56,Electronics,Credit Card,POS,Kolkata,0,6,389.76,1595,No,0,0.1143,0,17,0,0,0,4.37,0,0
T100126,CUST1719,2023-05-05 02:58:00,136.31,Electronics,UPI,Desktop,Chennai,0,80,37.79,136,No,0,3.607,0,2,4,1,0,0.37,0,0
T100127,CUST7173,2023-03-25 15:32:00,157.71,Food,NetBanking,Desktop,Kolkata,0,72,273.94,1042,No,0,0.5757,0,15,5,0,1,2.85,0,0
T100128,CUST4829,2023-12-15 23:14:00,0.56,Health,UPI,Mobile,Kolkata,0,16,189.97,326,No,0,0.0029,0,23,4,0,0,0.89,0,0
T100129,CUST6110,2023-02-04 21:50:00,57.19,Health,Debit Card,Desktop,Pune,0,38,81.98,1905,No,0,0.6976,0,21,5,0,1,5.22,0,0
T100130,CUST5005,2023-09-22 20:59:00,43.22,Health,Credit Card,Mobile,Hyderabad,0,177,372.89,868,No,0,0.1159,0,20,4,0,0,2.38,0,0
T100131,CUST6566,2023-11-26 08:03:00,20.09,Grocery,Debit Card,POS,Chennai,0,189,36.95,1884,No,0,0.5437,0,8,6,0,1,5.16,0,0
T100132,CUST6348,2024-01-09 19:08:00,10.21,Fashion,NetBanking,Desktop,Chennai,0,65,166.01,1148,No,0,0.0615,0,19,1,0,0,3.14,0,0
T100133,CUST3810,2023-03-08 20:01:00,32.95,Health,UPI,POS,Pune,0,126,285.47,1850,No,0,0.1154,0,20,2,0,0,5.07,0,0
T100134,CUST2593,2023-09-10 11:10:00,229.05,Fashion,Debit Card,Desktop,Delhi,0,83,207.18,1772,No,0,1.1056,0,11,6,0,1,4.85,0,0
T100135,CUST1395,2023-02-28 00:53:00,31.23,Food,Debit Card,Desktop,Pune,0,178,136.98,1014,No,0,0.228,0,0,1,1,0,2.78,0,0
T100136,CUST3107,2023-11-23 06:56:00,58.52,Entertainment,NetBanking,POS,Pune,1,17,463.74,874,No,0,0.1262,0,6,3,0,0,2.39,0,1
T100137,CUST6424,2023-06-16 00:02:00,97.13,Health,Credit Card,Desktop,Pune,0,113,466.18,1737,No,0,0.2084,0,0,4,1,0,4.76,0,0
T100138,CUST2117,2023-01-11 18:28:00,36.16,Food,Debit Card,POS,Hyderabad,1,156,213.89,1525,No,0,0.1691,0,18,2,0,0,4.18,0,1
T100139,CUST5188,2023-01-22 18:03:00,285.42,Health,NetBanking,POS,Bengaluru,0,172,202.93,108,Yes,1,1.4065,1,18,6,0,1,0.3,1,0
T100140,CUST1053,2024-01-31 11:21:00,262.56,Electronics,Credit Card,Mobile,Pune,0,140,160.62,1303,No,0,1.6347,1,11,2,0,0,3.57,0,0
T100141,CUST8610,2023-06-08 05:21:00,23.2,Travel,Credit Card,POS,Chennai,0,70,429.32,759,No,1,0.054,0,5,3,1,0,2.08,0,0
T100142,CUST2842,2023-09-23 19:24:00,55.01,Food,UPI,Mobile,Mumbai,0,71,288.28,368,No,0,0.1908,0,19,5,0,1,1.01,0,0
T100143,CUST7187,2023-02-14 01:22:00,28.63,Health,NetBanking,POS,Delhi,0,131,53.87,86,No,0,0.5315,0,1,1,1,0,0.24,0,0
T100144,CUST2644,2023-02-08 07:54:00,26.82,Utilities,Credit Card,Desktop,Pune,0,49,428.13,949,No,0,0.0626,0,7,2,0,0,2.6,0,0
T100145,CUST7560,2024-01-29 10:47:00,3.01,Travel,UPI,POS,Pune,1,21,272.09,176,No,0,0.0111,0,10,0,0,0,0.48,0,1
T100146,CUST9228,2023-10-23 13:50:00,75.24,Food,PayPal,Desktop,Delhi,0,136,213.64,775,No,0,0.3522,0,13,0,0,0,2.12,0,0
T100147,CUST6253,2023-10-09 17:52:00,55.88,Utilities,NetBanking,Mobile,Pune,0,64,175.55,1070,No,0,0.3183,0,17,0,0,0,2.93,0,0
T100148,CUST1301,2023-12-31 03:06:00,4.23,Utilities,PayPal,Desktop,Chennai,0,187,58.72,397,No,0,0.072,0,3,6,1,1,1.09,0,0
T100149,CUST6382,2023-01-15 11:37:00,26.13,Grocery,Credit Card,POS,Bengaluru,1,158,478.78,738,No,1,0.0546,0,11,6,0,1,2.02,0,1
T100150,CUST8606,2023-10-20 15:27:00,191.11,Utilities,NetBanking,Desktop,Pune,0,32,373.21,1242,No,0,0.5121,0,15,4,0,0,3.4,0,0
T100151,CUST3106,2023-10-31 16:26:00,21.91,Health,UPI,Mobile,Delhi,0,20,74.57,1697,No,0,0.2938,0,16,1,0,0,4.65,0,0
T100152,CUST1013,2023-01-04 09:48:00,12.52,Grocery,Credit Card,Desktop,Pune,0,16,260.52,277,No,0,0.0481,0,9,2,0,0,0.76,0,0
T100153,CUST2851,2023-11-16 09:00:00,53.78,Electronics,NetBanking,Desktop,Hyderabad,0,153,282.23,179,No,0,0.1906,0,9,3,0,0,0.49,0,0
T100154,CUST8670,2023-06-11 13:25:00,339.52,Health,NetBanking,POS,Chennai,1,60,92.27,743,No,0,3.6796,1,13,6,0,1,2.03,0,1
T100155,CUST6712,2023-07-09 17:36:00,22.17,Entertainment,PayPal,POS,Chennai,0,173,219.34,1266,No,0,0.1011,0,17,6,0,1,3.47,0,0
T100156,CUST1960,2023-07-29 13:16:00,89.21,Utilities,Credit Card,Desktop,Bengaluru,0,137,326.42,246,No,0,0.2733,0,13,5,0,1,0.67,0,0
T100157,CUST4233,2023-01-23 13:06:00,114.71,Electronics,UPI,Mobile,Hyderabad,0,179,149.17,1059,No,0,0.769,0,13,0,0,0,2.9,0,0
T100158,CUST3430,2023-08-16 13:36:00,21.71,Travel,UPI,Desktop,Hyderabad,0,103,172.49,699,No,0,0.1259,0,13,2,0,0,1.91,0,0
T100159,CUST8613,2023-02-16 22:05:00,104.22,Food,Credit Card,Mobile,Bengaluru,0,61,69.79,890,No,0,1.4933,0,22,3,0,0,2.44,0,0
T100160,CUST3543,2023-06-23 15:00:00,36.68,Utilities,Credit Card,Mobile,Kolkata,0,168,212.49,1640,No,0,0.1726,0,15,4,0,0,4.49,0,0
